article_id,title,lead,event_id,tags
01100101.2008093010000838055,공무원 보수 정원 동결 ‘고통 분담’,"정부가 내년 공무원 보수와 정원을 동결키로 한 것은 경제가 어려운 상황에서 공직사회가 고통분담에 나서겠다는 뜻으로 풀이된다.

하지만 공무원 노조를 중심으로 물가가 급등하는 상황에서 공무원들의 일방적 희생만을 강요하고 있다는 반발도 만만치 않다.

30일 기획재정부에 따르면 공무원 보수인상률은 2005년 1.3%에서 2006년 2.0%, 2007년과 2..",blackevent_033,"[""정부 일방적 정책 결정"", ""공무원 집단의 저항과 반발"", ""경제적 고통의 사회적 분담 논리"", ""노사 간 이해관계 충돌"", ""정책 정당성을 둘러싼 갈등""]"
02100101.20160120190212703,"중서부 눈,비 평년보다 포근",주말동안 활동하기 좋은 날씨였죠? 하늘도 맑고 큰 추위도 없었는데요. 오늘도 어제처럼 큰 추위 없이 평년보다는 포근한 날씨가 이어지겠습니다. 하지만 중서부 지역에서는 오늘 오후 한때 눈이나 비가 내리겠습니다. 내리는 양은 적겠지만 이 눈비가 그치고 나면 기온이 떨어지면서 오늘 밤부터는 추워지겠습니다. 오늘 밤부터는 바람도 강하게 불겠는데요. 오늘 퇴근길..,blackevent_038,"[""시간적 변화 과정"", ""지역적 차별성"", ""일시적 현상"", ""기온과 강수의 연동성"", ""평년 대비 상대성""]"
01400351.2008091710000778284,"다양한 취업 정보 서비스, 공주대 Job Cafe로 오세요","공주대학교(총장 김재현)는 17일 오후 3시 대학 종합복지관서 학무위원을 비롯한 대전지방노동청장, 교직원, 학생 등이 참석한 가운데 Job Cafe 개소식 행사를 갖는다.

Job Cafe는 지난 3월 노동부로부터 선정된 2008년도 대학취업지원기능 확충지원 사업 일환으로 설치된다.

이곳에서는 기업정보 검색은 물론 취업정보, 고용동향, 취업특강 및 채..",blackevent_033,"[""정부 주도의 대학 지원 사업"", ""공식적 개소식을 통한 제도화"", ""다층적 기관 간 협력 체계"", ""학생 대상 서비스 인프라 구축"", ""취업 지원의 체계적 접근""]"
01200201.2009011610001316104,"옹진군, 19일까지 제수용품 위생점검","인천 옹진군이 설 명절을 앞두고 오는 19일까지 제수 선물용 식품과 건강기능식품에 대해 위생지도점검을 실시한다.

군 위생지도 공무원과 소비자 식품위생감시원으로 구성된 점검반은 관내 제조 가공업소, 식품유통 판매업소 등 159곳을 집중 확인할 예정이다.

군은 무허가, 무신고 제조행위와 사용원료 적정 여부를 점검하는 한편 유통기한 위 변조, 진열 보존 ..",blackevent_039,"[""정기적 행정 감독 활동"", ""명절 대비 예방적 조치"", ""다수 업체 대상 일괄 점검"", ""공무원-민간 협력 체계"", ""식품안전 사전 관리""]"
02100201.20160225161652200,"[문답]""하이닉스, 잠정 결론 내린 적 없다""","이재훈 산업자원부 산업정책본부장은 12일 하이닉스 이천공장 증설 허용 문제와 관련 ""(하이닉스가) 당초 제안한 투자 계획에 대해서도 (태스크포스가) 완전한 결론을 내린 상태가 아니었다""고 말했다. 이 본부장은 이날 하이닉스 공장증설 계획에 대한 정부의 추가 검토 추진 방침을 밝히면서 이같이 말했다.
그는 ""잠정적인 결론을 내린 적도 없고 여당에 얘기해준..",blackevent_011,"[""정책 결정 과정의 미완결성"", ""공식 입장과 실제 진행 상황 간의 불일치"", ""정부 부처의 해명성 발언"", ""기업 투자 계획에 대한 정부 검토의 유동성"", ""의사결정 권한과 책임 소재의 모호함""]"
01500501.20071127131135002,일반계고 선발고사 414명 탈락,"2008학년도 후기 일반계고 선발 고시에서 지난해보다 다소 줄어든 410여 명의 학생이 탈락할 것으로 보인다.울산시교육청은 26일 울산지역 33개 후기 일반계고교 입학원서 접수를 마감한 결과, 모집정원 1만 3,892명에 1만4,339명(국가유공자녀 33명)이 지원해 414명이 탈락한다고 밝혔다. 지난해에는 1만3,508명 정원에 1만4,040명이 지원..",blackevent_020,"[""공급 대비 초과 수요 발생"", ""제한된 자원에 대한 경쟁적 선발"", ""전년 대비 소폭 감소 추세"", ""지역 단위 집중적 배치"", ""정량적 선별 메커니즘 작동""]"
02100311.20160317220842176,"외국인 노동자 61% ""아픈 적 있다""","외국인 노동자 10명 중 6명은 한국에 온 후 아팠던 경험이 있는 것으로 조사됐다. 하지만 10명 중 3명만 건강보험카드나 외국인 노동자 의료공제회 카드를 소지하고 있는 것으로 나타났다.

 국제보건의료발전재단은 지난 해 10월 24일부터 11월 27일까지 서울ㆍ경기ㆍ인천 등 수도권 외국인 노동자 685명의 건강실태조사를 실시한 결과 이같이 나타났다고 ..",blackevent_003,"[""높은 질병 발생률과 낮은 의료보장 접근성 간의 격차"", ""취약계층의 의료사각지대 존재"", ""제도적 보호망과 실제 이용률 간의 불일치"", ""외국인 노동자 집단의 구조적 의료 소외"", ""수요와 공급 간의 현저한 불균형""]"
02100351.20091203083800001,LPG 담합 행위 과징금 6689억원 부과 '사상 최대',"공정위, E1 검찰고발 SK에너지 SK가스 리니언시 혜택안경주 박민규 기자@이투데이 [ ahnkj@e-today.co.kr ]공정거래위원회가 액화석유가스(LPG) 공급기업의 부당 공동행위(담합)에 대해 6689억원의 사상 최대 과징금을 부과했다. 그러나 E1, GS칼텍스 등 제재를 받은 기업들이 담합 혐의를 강력 부인하고 있어 소송으로 이어질 전망이다...",blackevent_053,"[""규제기관의 강력한 제재 조치"", ""기업들의 집단적 시장 조작 행위"", ""역대 최고 수준의 처벌 강도"", ""당사자들의 전면적 혐의 부인"", ""법적 분쟁의 장기화 예상""]"
01100401.20070703064451024,교육부 “에버랜드 주식 전량 매각”,"삼성서 작년 기부한 지분 
740억대 장학사업 운용 
 
교육인적자원부는 현재 보유한 삼성에버랜드 지분 4.25%(10만6142주)를 전량 매각하기로 하고 매각 주간사회사 선정 작업에 착수했다. 
 교육부 산하기관인 한국학술진흥재단은 교육부로부터 삼성에버랜드 지분 매각에 대한 사항을 위탁받아 이를 공개 매각하기로 했다고 2일 밝혔다. 
 학술진흥재단은..",blackevent_012,"[""공공기관의 민간자산 처분"", ""기부재산의 현금화 과정"", ""위탁을 통한 간접 집행"", ""공개매각 방식의 투명성 확보"", ""교육재정 확충을 위한 자산 활용""]"
04101008.20160309081704556,"국민銀, 대학생 대상 신상품 아이디어 공모","[이데일리 김수연기자] 국민은행이 대학생들을 상대로 신상품 아이디어 공모전을 연다.

KB금융(105560)지주 주력자회사 국민은행은 1일 `제4회 KB국민은행 대학생 대상 신상품 및 마케팅 아이디어 공모전`을 연다고 밝혔다. 

국내외 대학(원)생은 누구나 참가 가능하며 고객층별 마케팅 전략,금융신상품 제안 등 7가지 주제 중 한가지를 선택해 아이디어..",blackevent_046,"[""기업과 대학생 간의 상호작용적 참여"", ""공개적 경쟁 구조의 아이디어 수집"", ""금융업계의 외부 인재 활용 전략"", ""세대간 지식 교환의 제도화"", ""혁신 창출을 위한 개방형 플랫폼""]"
04101008.20160309155614075,(증시브리핑)`일단 한숨 돌렸다`,"[이데일리 김경민기자] 한없이 흘러내리기만 했던 코스피지수의 하락행진이 전날(4일) 7거래일만에 멈췄다. 딱히 큰 호재가 있었던 상황은 아니었다. 미국에서 버핏이 대규모 투자에 나섰다는 재료가 긍정적이긴 했지만 유럽 금융권이 추가 구제자금을 받기로 결정했다는 악재도 혼재된 상황이였다.

하지만 코스피지수는 오랜만에 2% 이상 반등다운 반등을 보이며 15..",blackevent_052,"[""연속적 하락 추세의 일시적 중단"", ""명확한 원인 없는 반전 현象"", ""상반된 재료들의 혼재 상황"", ""심리적 안도감 기반의 회복"", ""단기적 기술적 반등의 성격""]"
08100201.20090403150000250,"""체중 증가 주범은 설탕 음료""","체중을 줄이려면 설탕이 들어간 음료를 적게 마셔야 한다는 연구결과가 나왔습니다.미국 루이지애나 주립대학 보건대학원은 생활습관 변화 실험에 참여한 성인 800여 명의 자료를 분석한 결과 가당 음료 마시는 횟수를 하루 한 번씩만 줄여도 1년 반 사이에 체중이 평균 1.1kg 줄어드는 것으로 나타났다고 밝혔습니다.연구팀은 가당음료와 다이어트 음료, 우유, 설..",blackevent_042,"[""실험적 연구를 통한 인과관계 규명"", ""대규모 표본을 활용한 통계적 분석"", ""일상적 행동 변화의 장기적 효과 측정"", ""정량적 수치로 표현된 건강 개선 결과"", ""생활습관 수정을 통한 예방적 접근""]"
02100201.20160225214455440,"産銀, 혁신형中企지원 행자부장관상 수상","산업은행이 혁신형중소기업 지원활동으로 민관협력포럼이 주최하는 '2007년 민관협력 우수사례 공모대회' 시상식에서 행자부장관상을 수상했다.이번 공모대회는 '경계를 넘어 창조적 협력으로 - 파트너십, 거버넌스, 선진화'를 주제로 올해 처음 개최됐으며 민관협력포럼이 주최하고 행자부, 국무총리비서실, 대한상공회의소가 후원했다.
산은은 2005년부터 미래 성장동..",blackevent_012,"[""공공기관의 민간부문 지원활동"", ""정부-기업 간 협력관계 형성"", ""정책목표 달성에 대한 공식적 인정"", ""다층적 기관들의 네트워크 참여"", ""성과 기반 포상체계 운영""]"
